City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Oneida,US,43.2,-75.47,39.2,86,90,6.93,moderate rain
317,Kendari,ID,-3.94,122.5,88.09,60,50,6.13,light rain
318,Salalah,OM,17.02,54.09,86.0,42,0,2.24,clear sky
319,Roald,NO,62.58,6.13,42.8,75,0,11.41,clear sky
320,Nueva Concepcion,GT,14.2,-91.3,66.99,96,100,4.85,overcast clouds
321,Mponela,MW,-13.53,33.74,75.2,57,20,14.99,few clouds
322,Sao Filipe,CV,14.9,-24.5,80.6,66,100,12.93,overcast clouds
323,Mokolo,CM,10.74,13.8,79.97,29,0,10.29,clear sky
324,Makarska,HR,43.3,17.02,53.01,60,100,3.0,overcast clouds
325,Zernograd,RU,46.85,40.31,54.91,93,89,6.71,overcast clouds
326,Misratah,LY,32.38,15.09,71.58,63,100,13.02,overcast clouds
327,Tunduma,TZ,-9.3,32.77,81.39,32,66,4.0,broken clouds
328,Gizo,SB,-8.1,156.84,80.78,79,100,10.76,moderate rain
329,Presidente Venceslau,BR,-21.88,-51.84,69.82,80,100,6.53,overcast clouds
330,Cairns,AU,-16.92,145.77,86.0,66,75,6.93,broken clouds
331,Asau,RO,46.43,26.4,50.0,85,100,2.3,light rain
332,Padra,IN,22.23,73.08,90.63,26,7,7.23,clear sky
333,Seymchan,RU,62.88,152.43,7.2,91,100,1.43,overcast clouds
334,Nome,US,64.5,-165.41,12.2,85,1,4.21,clear sky
335,Mataram,ID,-8.58,116.12,85.03,68,71,3.36,broken clouds
336,Shakawe,BW,-18.37,21.85,92.61,23,21,1.59,few clouds
337,Victor Harbor,AU,-35.57,138.62,60.01,81,2,4.0,clear sky
338,Waddan,LY,29.16,16.14,62.04,68,0,7.52,clear sky
339,Kruisfontein,ZA,-34.0,24.73,60.01,67,98,7.0,overcast clouds
340,Hailey,US,43.52,-114.32,37.4,55,1,9.17,clear sky
